id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NGFRAP1	-0.610280903481531	12.5320288929462	-5.41041995912592	1.57103863973979e-07	3.24239368213199e-06	6.95513667300904
PPFIA2	-0.692121421444286	7.7983732324574	-5.41017331978549	1.57295950843318e-07	3.24239368213199e-06	6.95396994759298
TMEM158	-0.892610805347206	7.06354998667713	-5.40996146507918	1.57461129337872e-07	3.24239368213199e-06	6.95296780332972
MPHOSPH9	0.607645377922268	7.39588691110762	5.40964838943126	1.57705536712337e-07	3.2433518848832e-06	6.95148690521296
OCIAD1	-1.02449939212611	8.23173221359641	-5.40864341945414	1.58492579595856e-07	3.25545347387929e-06	6.94673368200783
BAZ1A	0.847531925851476	6.23093225264574	5.40645409721924	1.60220406537467e-07	3.28271585444453e-06	6.93638116468099
SPIRE2	0.8973728691353	5.47132890220179	5.40379607512574	1.62342784253486e-07	3.31790595598366e-06	6.92381667695025
SNAPC5	-0.598843631251406	7.36149139443946	-5.40306025960613	1.62935137650401e-07	3.32586530663477e-06	6.92033931410779
RALGDS	0.590054884323338	8.77280089824215	5.40251625739919	1.63374427506803e-07	3.33068437968159e-06	6.91776866933766
ZDHHC4	-0.994449877211098	6.32332863494619	-5.39870730482924	1.66482664188009e-07	3.38562946489536e-06	6.89977531976705
ATP1A2	0.800756761280931	8.98238060469058	5.39425694771607	1.70187244433507e-07	3.45667797213088e-06	6.87876440146017
MRPL4	-0.76327253570682	6.79090987900897	-5.39179946292209	1.72267162551597e-07	3.49459289775151e-06	6.86716791452801
TRIM22	0.741238332203033	6.75136872211659	5.38952924162762	1.74210554309077e-07	3.52094352118383e-06	6.85645871962897
PSMC3	-0.828399529526052	7.19071569057399	-5.38837152693791	1.75209796790351e-07	3.53677805319044e-06	6.85099883399471
HIVEP2	-0.900146065129817	7.65907697098655	-5.38655402185487	1.76789775218846e-07	3.56428192572214e-06	6.84242914528512
YWHAZ	-0.841150920367195	9.77702864500448	-5.38453019177537	1.78565429018714e-07	3.5956584116041e-06	6.83288924448523
GLIS1	0.674118123854053	7.39564340386996	5.3833066949897	1.79647295644909e-07	3.61300469069412e-06	6.82712328628311
CEBPD	0.620047334407197	10.603582047861	5.38137376063793	1.81369485442444e-07	3.63871142703439e-06	6.81801603349572
DCTD	-0.797274842646022	6.33631415833632	-5.37698999829269	1.85335032772736e-07	3.70918989276913e-06	6.79737077651418
RREB1	0.742395742743268	6.27907849536771	5.37452791031848	1.87599096600436e-07	3.74939308564736e-06	6.78578131729492
BCAS1	0.987396755954527	8.48819544106726	5.37430938901843	1.87801337521596e-07	3.74939308564736e-06	6.78475289933681
SGMS1	0.608435297072721	6.88239254648431	5.37312400280031	1.88902111157577e-07	3.76678163501685e-06	6.77917472755577
TFAP2C	0.974244766300274	4.76355277368161	5.37130534955574	1.9060316235469e-07	3.79147625504335e-06	6.77061838778839
ZBTB41	0.677242112063377	8.15522669578475	5.3670558503163	1.94636167855732e-07	3.86232618320012e-06	6.75063421890502
PSMA1	-0.674327826165145	9.49528998643498	-5.3657452817753	1.95896631797484e-07	3.87794890313112e-06	6.74447346235137
PRSS3	-0.594468358777291	7.47345690230493	-5.36288473832101	1.98675456025441e-07	3.92821399241617e-06	6.73103058586606
ZNF652	0.713781331562174	6.71276674865022	5.36137601674694	2.00156483853403e-07	3.95272882751944e-06	6.72394271454278
PTH1R	0.633006590965331	6.73275488330493	5.36002452764651	2.01492280288645e-07	3.97432005560912e-06	6.71759482174412
GUCY1B3	-0.707002026727301	9.17168386465471	-5.3570701291239	2.04442642266501e-07	4.02766748724786e-06	6.70372244026996
KCTD4	-0.896479586829056	6.54206647350224	-5.35644506767595	2.0507221391427e-07	4.0348178116059e-06	6.7007882227828
CORO1A	-0.926699257933398	7.68107035275785	-5.35615199444105	2.05368050854351e-07	4.0348178116059e-06	6.69941254439132
NBR2	0.74279053375859	6.45947777089238	5.35597781316986	2.0554407130077e-07	4.0348178116059e-06	6.69859496951018
VPS28	-0.727414761342201	9.52914071160987	-5.35538151528215	2.0614777730538e-07	4.04182801173743e-06	6.6957962127408
DUSP8	0.612304271780195	9.40643156754708	5.34502909927713	2.16907876142655e-07	4.24264558216499e-06	6.64724507430937
CDC42EP4	0.645117868620066	7.77324924426457	5.34186945167046	2.20299386086325e-07	4.30205385589125e-06	6.63244135194436
XK	-0.654525972011609	7.0923450051435	-5.34108413452097	2.21150300944255e-07	4.30507670163572e-06	6.62876300238426
